cosine_lexical_tok2	cosine_lexical_tok3	cosine_lexical_lem3	cosine_syntax_penn_tok3	cosine_syntax_penn_tok2	cosine_syntax_penn_lex2	cosine_syntax_penn_lex3	cosine_lexical_lem2	condition_info
0.419765012554	0.0767363974446	0.091668197126	0.0	0.0	0.0	0.0	0.482789461634	34_2-1-3.txt
0.232076356399	0.0383981323603	0.0428389328955	0.0	0.0	0.0	0.0	0.260421614589	34_1-0-3.txt
0.425301481157	0.145270163307	0.151510612127	0.0	0.0	0.0	0.0	0.484965613474	15_1-0-2.txt
0.315480363217	0.0820356312924	0.111640065209	0.0	0.0	0.0	0.0	0.398461340829	38_1-1-3.txt
0.286209686636	0.0458682472294	0.0515123606974	0.0	0.0	0.0	0.0	0.317409338576	18_1-0-3.txt
0.186535274745	0.0544637919476	0.0560731246889	0.0	0.0	0.0	0.0	0.185633608868	14_2-0-3.txt
0.336683912726	0.04902495483	0.0532141553043	0.0	0.0	0.0	0.0	0.384748197976	7_1-0-2.txt
0.18326446431	0.0388581558258	0.0468924275948	0.0	0.0	0.0	0.0	0.213003189769	21_1-1-2.txt
0.432125590884	0.142085320631	0.160651294855	0.0	0.0	0.0	0.0	0.50292038819	21_2-0-3.txt
0.383557342118	0.128940189176	0.13678469369	0.0	0.0	0.0	0.0	0.432545134111	35_1-1-3.txt
0.303303189166	0.112090337492	0.119262169779	0.0	0.0	0.0	0.0	0.331927103614	26_1-0-3.txt
0.376420652161	0.0770835876496	0.101548795211	0.0	0.0	0.0	0.0	0.408505681758	13_1-0-2.txt
0.334629283825	0.080063281618	0.0843709568842	0.0	0.0	0.0	0.0	0.384677385477	32_2-1-2.txt
0.404358895035	0.115505621173	0.119713085439	0.0	0.0	0.0	0.0	0.442021602875	13_2-1-3.txt
0.314692084496	0.033945282225	0.0367343687622	0.0	0.0	0.0	0.0	0.335426858124	26_2-1-2.txt
0.413570079808	0.0811168925486	0.110990346719	0.0	0.0	0.0	0.0	0.500530640563	1_2-1-3.txt
0.385305891329	0.146225759707	0.148732339083	0.0	0.0	0.0	0.0	0.397375480916	33_2-0-3.txt
0.236821612762	0.0429602653737	0.044879388828	0.0	0.0	0.0	0.0	0.253111722752	12_2-0-3.txt
0.151650722068	0.0210620983613	0.0250297534451	0.0	0.0	0.0	0.0	0.208836754939	12_1-1-3.txt
0.2438416027	0.0668232661024	0.0683835360576	0.0	0.0	0.0	0.0	0.259865514605	33_1-1-2.txt
0.410564840922	0.147091197289	0.150542159966	0.0	0.0	0.0	0.0	0.434552011786	27_1-1-2.txt
