syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	condition_info
0.709110268062	0.709110268062	0.0998475714488	0.186071848057	time197-cond1.txt
0.768490400947	0.768490400947	0.353514466981	0.435380318267	time202-cond1.txt
0.744801514007	0.744801514007	0.309924288715	0.356672514248	time191-cond1.txt
0.782399191507	0.782399191507	0.353604050148	0.401469327578	time209-cond1.txt
0.810752906336	0.810752906336	0.192589358893	0.305208671526	time210-cond1.txt
0.766314969559	0.766314969559	0.311128104041	0.36552177838	time204-cond1.txt
0.670246297863	0.670246297863	0.164155055681	0.228144600702	time196-cond1.txt
0.78957146685	0.78957146685	0.285261084843	0.31717280455	time203-cond1.txt
0.741248409379	0.741248409379	0.319008259742	0.383271058907	time208-cond1.txt
0.785439580005	0.785439580005	0.188816221146	0.229782724442	time205-cond1.txt
0.679367252453	0.679367252453	0.215394118426	0.30380975004	time195-cond1.txt
0.633056186397	0.633056186397	0.150354547037	0.205914345892	time198-cond1.txt
0.786750699516	0.786750699516	0.159313732384	0.249089697751	time200-cond1.txt
0.81270019648	0.81270019648	0.223875816792	0.292359466752	time193-cond1.txt
0.840767059288	0.840767059288	0.230318863959	0.267234458483	time206-cond1.txt
0.677230619052	0.677230619052	0.280499019485	0.365535272825	time194-cond1.txt
0.741266534595	0.741266534595	0.246730858704	0.303580330307	time199-cond1.txt
0.771131747815	0.771131747815	0.166130926993	0.251810486881	time201-cond1.txt
0.695120144694	0.695120144694	0.15256516447	0.258088455763	time192-cond1.txt
0.691722848102	0.691722848102	0.18892581297	0.233575008966	time207-cond1.txt
