time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
0	0.0	0.0	0.0	0.0	0.285197659446	cgv>kid	time197-cond1.txt
1	0.0	0.0	0.0	0.0	0.373579584757	kid>cgv	time197-cond1.txt
2	0.154303349962	0.0	0.0	0.0	0.577819546318	cgv>kid	time197-cond1.txt
3	0.0	0.0	0.0	0.0	0.672066688893	kid>cgv	time197-cond1.txt
4	0.111111111111	0.0924500327042	0.0	0.0	0.597503999787	cgv>kid	time197-cond1.txt
5	0.222222222222	0.277350098113	0.0	0.0	0.617649125094	kid>cgv	time197-cond1.txt
6	0.0	0.0	0.0	0.0	0.168668076356	cgv>kid	time197-cond1.txt
7	0.0	0.0	0.0	0.0	0.223091264139	kid>cgv	time197-cond1.txt
8	0.0	0.0	0.0	0.0	0.323836470237	cgv>kid	time197-cond1.txt
9	0.0	0.0	0.0	0.0	0.283155708644	kid>cgv	time197-cond1.txt
10	0.108465228909	0.102597835209	0.0	0.0	0.612746665891	cgv>kid	time197-cond1.txt
11	0.0	0.0	0.0	0.0	0.452821265846	kid>cgv	time197-cond1.txt
12	0.0	0.207390338946	0.0	0.0	0.466473532303	cgv>kid	time197-cond1.txt
13	0.1788854382	0.313544720668	0.0	0.0952380952381	0.794764495995	kid>cgv	time197-cond1.txt
14	0.13416407865	0.293972367896	0.0	0.0	0.711626745433	cgv>kid	time197-cond1.txt
15	0.0	0.0	0.0	0.0	0.197092620369	kid>cgv	time197-cond1.txt
16	0.0	0.0	0.0	0.0	0.349154302905	cgv>kid	time197-cond1.txt
17	0.235702260396	0.235702260396	0.0	0.0	0.400570011806	kid>cgv	time197-cond1.txt
18	0.426401432711	0.426401432711	0.0	0.0	0.272024241759	cgv>kid	time197-cond1.txt
19	0.0	0.0	0.0	0.0	0.432793104951	kid>cgv	time197-cond1.txt
20	0.0	0.0	0.0	0.0	0.60818479215	cgv>kid	time197-cond1.txt
21	0.133630620956	0.267261241912	0.0	0.0	0.362058749098	kid>cgv	time197-cond1.txt
22	0.158113883008	0.162221421131	0.0	0.0	0.534082109007	cgv>kid	time197-cond1.txt
23	0.2	0.102597835209	0.0	0.0		kid>cgv	time197-cond1.txt
24	0.0	0.0	0.072547625011	0.072547625011		cgv>kid	time197-cond1.txt
25	0.0	0.0	0.0	0.0		kid>cgv	time197-cond1.txt
26	0.0	0.353553390593	0.0	0.0		cgv>kid	time197-cond1.txt
27	0.0	0.0	0.0	0.0		kid>cgv	time197-cond1.txt
28	0.0	0.0	0.0	0.0		cgv>kid	time197-cond1.txt
29	0.0	0.0	0.0	0.0	0.678684384713	kid>cgv	time197-cond1.txt
30	0.204124145232	0.188982236505	0.0	0.0	0.359859495103	cgv>kid	time197-cond1.txt
31	0.213200716356	0.196116135138	0.166666666667	0.166666666667	0.636572866428	kid>cgv	time197-cond1.txt
32	0.0	0.288675134595	0.0	0.0	0.271725893088	cgv>kid	time197-cond1.txt
33	0.0	0.0	0.0	0.0	0.377315439332	kid>cgv	time197-cond1.txt
34	0.0	0.0	0.0	0.0	0.216260427234	cgv>kid	time197-cond1.txt
35	0.0	0.0	0.0	0.0	0.228780833298	kid>cgv	time197-cond1.txt
36	0.0	0.0	0.0	0.0		cgv>kid	time197-cond1.txt
37	0.0	0.0	0.0	0.0		kid>cgv	time197-cond1.txt
38	0.0	0.0	0.0	0.0	0.553960364794	cgv>kid	time197-cond1.txt
39	0.0	0.0	0.140028008403	0.140028008403	0.494103375114	kid>cgv	time197-cond1.txt
40	0.0	0.0	0.0	0.0	0.322386914889	cgv>kid	time197-cond1.txt
41	0.0	0.0	0.0	0.0	0.617912694978	kid>cgv	time197-cond1.txt
42	0.0	0.0	0.0	0.0	0.35904587714	cgv>kid	time197-cond1.txt
43	0.141421356237	0.129099444874	0.0	0.0	0.439176734877	kid>cgv	time197-cond1.txt
44	0.22360679775	0.204124145232	0.0	0.0	0.627912130332	cgv>kid	time197-cond1.txt
45	0.196116135138	0.196116135138	0.0	0.0	0.642734212521	kid>cgv	time197-cond1.txt
46	0.266469355011	0.306970306757	0.0	0.0	0.586060384447	cgv>kid	time197-cond1.txt
47	0.0	0.182574185835	0.0	0.0	0.538054946453	kid>cgv	time197-cond1.txt
48	0.0	0.0	0.0	0.0	0.41683026214	cgv>kid	time197-cond1.txt
49	0.25	0.0	0.0	0.0	0.426526373663	kid>cgv	time197-cond1.txt
50	0.39735970712	0.292508969651	0.0	0.0	0.608077768522	cgv>kid	time197-cond1.txt
51	0.243332131696	0.342997170285	0.0	0.0	0.326815945436	kid>cgv	time197-cond1.txt
52	0.0	0.106600358178	0.0	0.0	0.502047200372	cgv>kid	time197-cond1.txt
53	0.0	0.0	0.0	0.0	0.82697459982	kid>cgv	time197-cond1.txt
54	0.0	0.0	0.0	0.0	0.704378232791	cgv>kid	time197-cond1.txt
55	0.0	0.0	0.0	0.0	0.557974001188	kid>cgv	time197-cond1.txt
56	0.0	0.0	0.0	0.0	0.566573111074	cgv>kid	time197-cond1.txt
57	0.0	0.0	0.0	0.0	0.800273741409	kid>cgv	time197-cond1.txt
58	0.301511344578	0.277350098113	0.129099444874	0.129099444874	0.76264950093	cgv>kid	time197-cond1.txt
59	0.0	0.0	0.0	0.0		kid>cgv	time197-cond1.txt
60	0.0	0.0	0.0	0.0		cgv>kid	time197-cond1.txt
61	0.241746889208	0.226133508433	0.106600358178	0.106600358178	0.795959796091	kid>cgv	time197-cond1.txt
62	0.0714285714286	0.144337567297	0.133630620956	0.133630620956	0.701293472278	cgv>kid	time197-cond1.txt
63	0.0753778361444	0.0753778361444	0.0	0.0	0.415926089051	kid>cgv	time197-cond1.txt
64	0.183425352155	0.388514344943	0.0571661950475	0.0857492925713	0.818768402324	cgv>kid	time197-cond1.txt
65	0.054554472559	0.054554472559	0.0	0.0	0.736340102857	kid>cgv	time197-cond1.txt
66	0.0	0.0	0.0	0.0	0.473280770321	cgv>kid	time197-cond1.txt
